species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,culmen_area_mm2,flipper_to_mass_ratio
Adelie,Dream,39.5,17.8,188.0,3300.0,FEMALE,703.1,0.05696969696969697
Adelie,Dream,40.9,18.9,184.0,3900.0,MALE,773.0099999999999,0.04717948717948718
Adelie,Dream,36.4,17.0,195.0,3325.0,FEMALE,618.8,0.058646616541353384
Adelie,Dream,39.2,21.1,196.0,4150.0,MALE,827.1200000000001,0.047228915662650604
Adelie,Dream,38.8,20.0,190.0,3950.0,MALE,776.0,0.04810126582278481
Adelie,Dream,42.2,18.5,180.0,3550.0,FEMALE,780.7,0.05070422535211268
Adelie,Dream,37.6,19.3,181.0,3300.0,FEMALE,725.6800000000001,0.05484848484848485
Adelie,Dream,39.8,19.1,184.0,4650.0,MALE,760.18,0.03956989247311828
Adelie,Dream,36.5,18.0,182.0,3150.0,FEMALE,657.0,0.057777777777777775
Adelie,Dream,40.8,18.4,195.0,3900.0,MALE,750.7199999999999,0.05
Adelie,Dream,36.0,18.5,186.0,3100.0,FEMALE,666.0,0.06
Adelie,Dream,44.1,19.7,196.0,4400.0,MALE,868.77,0.04454545454545455
Adelie,Dream,37.0,16.9,185.0,3000.0,FEMALE,625.3,0.06166666666666667
Adelie,Dream,39.6,18.8,190.0,4600.0,MALE,744.48,0.041304347826086954
Adelie,Dream,41.1,19.0,182.0,3425.0,MALE,780.9,0.053138686131386864
Adelie,Dream,37.5,18.9,179.0,2975.0,MALE,708.75,0.060168067226890755
Adelie,Dream,36.0,17.9,190.0,3450.0,FEMALE,644.4,0.05507246376811594
Adelie,Dream,42.3,21.2,191.0,4150.0,MALE,896.7599999999999,0.04602409638554217
Adelie,Biscoe,39.6,17.7,186.0,3500.0,FEMALE,700.92,0.053142857142857144
Adelie,Biscoe,40.1,18.9,188.0,4300.0,MALE,757.89,0.04372093023255814
Adelie,Biscoe,35.0,17.9,190.0,3450.0,FEMALE,626.5,0.05507246376811594
Adelie,Biscoe,42.0,19.5,200.0,4050.0,MALE,819.0,0.04938271604938271
Adelie,Biscoe,34.5,18.1,187.0,2900.0,FEMALE,624.45,0.06448275862068965
Adelie,Biscoe,41.4,18.6,191.0,3700.0,MALE,770.0400000000001,0.05162162162162162
Adelie,Biscoe,39.0,17.5,186.0,3550.0,FEMALE,682.5,0.0523943661971831
Adelie,Biscoe,40.6,18.8,193.0,3800.0,MALE,763.2800000000001,0.05078947368421052
Adelie,Biscoe,36.5,16.6,181.0,2850.0,FEMALE,605.9000000000001,0.06350877192982456
Adelie,Biscoe,37.6,19.1,194.0,3750.0,MALE,718.1600000000001,0.05173333333333333
Adelie,Biscoe,35.7,16.9,185.0,3150.0,FEMALE,603.33,0.05873015873015873
Adelie,Biscoe,41.3,21.1,195.0,4400.0,MALE,871.43,0.04431818181818182
Adelie,Biscoe,37.6,17.0,185.0,3600.0,FEMALE,639.2,0.05138888888888889
Adelie,Biscoe,41.1,18.2,192.0,4050.0,MALE,748.02,0.047407407407407405
Adelie,Biscoe,36.4,17.1,184.0,2850.0,FEMALE,622.44,0.06456140350877193
Adelie,Biscoe,41.6,18.0,192.0,3950.0,MALE,748.8000000000001,0.04860759493670886
Adelie,Biscoe,35.5,16.2,195.0,3350.0,FEMALE,575.1,0.058208955223880594
Adelie,Biscoe,41.1,19.1,188.0,4100.0,MALE,785.0100000000001,0.045853658536585365
Adelie,Torgersen,35.9,16.6,190.0,3050.0,FEMALE,595.94,0.06229508196721312
Adelie,Torgersen,41.8,19.4,198.0,4450.0,MALE,810.9199999999998,0.04449438202247191
Adelie,Torgersen,33.5,19.0,190.0,3600.0,FEMALE,636.5,0.05277777777777778
Adelie,Torgersen,39.7,18.4,190.0,3900.0,MALE,730.48,0.04871794871794872
Adelie,Torgersen,39.6,17.2,196.0,3550.0,FEMALE,681.12,0.0552112676056338
Adelie,Torgersen,45.8,18.9,197.0,4150.0,MALE,865.6199999999999,0.047469879518072286
Adelie,Torgersen,35.5,17.5,190.0,3700.0,FEMALE,621.25,0.051351351351351354
Adelie,Torgersen,42.8,18.5,195.0,4250.0,MALE,791.8,0.04588235294117647
Adelie,Torgersen,40.9,16.8,191.0,3700.0,FEMALE,687.12,0.05162162162162162
Adelie,Torgersen,37.2,19.4,184.0,3900.0,MALE,721.68,0.04717948717948718
Adelie,Torgersen,36.2,16.1,187.0,3550.0,FEMALE,582.82,0.05267605633802817
Adelie,Torgersen,42.1,19.1,195.0,4000.0,MALE,804.1100000000001,0.04875
Adelie,Torgersen,34.6,17.2,189.0,3200.0,FEMALE,595.12,0.0590625
Adelie,Torgersen,42.9,17.6,196.0,4700.0,MALE,755.0400000000001,0.04170212765957447
Adelie,Torgersen,36.7,18.8,187.0,3800.0,FEMALE,689.96,0.049210526315789475
Adelie,Torgersen,35.1,19.4,193.0,4200.0,MALE,680.9399999999999,0.04595238095238095
Adelie,Dream,37.3,17.8,191.0,3350.0,FEMALE,663.9399999999999,0.05701492537313433
Adelie,Dream,41.3,20.3,194.0,3550.0,MALE,838.39,0.05464788732394366
Adelie,Dream,36.3,19.5,190.0,3800.0,MALE,707.8499999999999,0.05
Adelie,Dream,36.9,18.6,189.0,3500.0,FEMALE,686.34,0.054
Adelie,Dream,38.3,19.2,189.0,3950.0,MALE,735.3599999999999,0.047848101265822784
Adelie,Dream,38.9,18.8,190.0,3600.0,FEMALE,731.32,0.05277777777777778
Adelie,Dream,35.7,18.0,202.0,3550.0,FEMALE,642.6,0.056901408450704224
Adelie,Dream,41.1,18.1,205.0,4300.0,MALE,743.9100000000001,0.047674418604651166
Adelie,Dream,34.0,17.1,185.0,3400.0,FEMALE,581.4000000000001,0.054411764705882354
Adelie,Dream,39.6,18.1,186.0,4450.0,MALE,716.7600000000001,0.041797752808988765
Adelie,Dream,36.2,17.3,187.0,3300.0,FEMALE,626.2600000000001,0.056666666666666664
Adelie,Dream,40.8,18.9,208.0,4300.0,MALE,771.1199999999999,0.04837209302325581
Adelie,Dream,38.1,18.6,190.0,3700.0,FEMALE,708.6600000000001,0.051351351351351354
Adelie,Dream,40.3,18.5,196.0,4350.0,MALE,745.55,0.045057471264367814
Adelie,Dream,33.1,16.1,178.0,2900.0,FEMALE,532.9100000000001,0.06137931034482759
Adelie,Dream,43.2,18.5,192.0,4100.0,MALE,799.2,0.04682926829268293
Adelie,Biscoe,35.0,17.9,192.0,3725.0,FEMALE,626.5,0.051543624161073824
Adelie,Biscoe,41.0,20.0,203.0,4725.0,MALE,820.0,0.04296296296296296
Adelie,Biscoe,37.7,16.0,183.0,3075.0,FEMALE,603.2,0.05951219512195122
Adelie,Biscoe,37.8,20.0,190.0,4250.0,MALE,756.0,0.04470588235294118
Adelie,Biscoe,37.9,18.6,193.0,2925.0,FEMALE,704.94,0.06598290598290599
Adelie,Biscoe,39.7,18.9,184.0,3550.0,MALE,750.33,0.051830985915492955
Adelie,Biscoe,38.6,17.2,199.0,3750.0,FEMALE,663.92,0.053066666666666665
Adelie,Biscoe,38.2,20.0,190.0,3900.0,MALE,764.0,0.04871794871794872
Adelie,Biscoe,38.1,17.0,181.0,3175.0,FEMALE,647.7,0.057007874015748035
Adelie,Biscoe,43.2,19.0,197.0,4775.0,MALE,820.8000000000001,0.0412565445026178
Adelie,Biscoe,38.1,16.5,198.0,3825.0,FEMALE,628.65,0.05176470588235294
Adelie,Biscoe,45.6,20.3,191.0,4600.0,MALE,925.6800000000001,0.04152173913043478
Adelie,Biscoe,39.7,17.7,193.0,3200.0,FEMALE,702.69,0.0603125
Adelie,Biscoe,42.2,19.5,197.0,4275.0,MALE,822.9000000000001,0.04608187134502924
Adelie,Biscoe,39.6,20.7,191.0,3900.0,FEMALE,819.72,0.04897435897435897
Adelie,Biscoe,42.7,18.3,196.0,4075.0,MALE,781.4100000000001,0.04809815950920245
Adelie,Torgersen,38.6,17.0,188.0,2900.0,FEMALE,656.2,0.06482758620689655
Adelie,Torgersen,37.3,20.5,199.0,3775.0,MALE,764.65,0.05271523178807947
Adelie,Torgersen,35.7,17.0,189.0,3350.0,FEMALE,606.9000000000001,0.05641791044776119
Adelie,Torgersen,41.1,18.6,189.0,3325.0,MALE,764.46,0.056842105263157895
Adelie,Torgersen,36.2,17.2,187.0,3150.0,FEMALE,622.64,0.059365079365079364
Adelie,Torgersen,37.7,19.8,198.0,3500.0,MALE,746.46,0.05657142857142857
Adelie,Torgersen,40.2,17.0,176.0,3450.0,FEMALE,683.4000000000001,0.051014492753623186
Adelie,Torgersen,41.4,18.5,202.0,3875.0,MALE,765.9,0.05212903225806451
Adelie,Torgersen,35.2,15.9,186.0,3050.0,FEMALE,559.6800000000001,0.06098360655737705
Adelie,Torgersen,40.6,19.0,199.0,4000.0,MALE,771.4,0.04975
Adelie,Torgersen,38.8,17.6,191.0,3275.0,FEMALE,682.88,0.0583206106870229
Adelie,Torgersen,41.5,18.3,195.0,4300.0,MALE,759.45,0.04534883720930233
Adelie,Torgersen,39.0,17.1,191.0,3050.0,FEMALE,666.9000000000001,0.06262295081967213
Adelie,Torgersen,44.1,18.0,210.0,4000.0,MALE,793.8000000000001,0.0525
Adelie,Torgersen,38.5,17.9,190.0,3325.0,FEMALE,689.15,0.05714285714285714
Adelie,Torgersen,43.1,19.2,197.0,3500.0,MALE,827.52,0.056285714285714286
Adelie,Dream,36.8,18.5,193.0,3500.0,FEMALE,680.8,0.055142857142857146
Adelie,Dream,37.5,18.5,199.0,4475.0,MALE,693.75,0.04446927374301676
Adelie,Dream,38.1,17.6,187.0,3425.0,FEMALE,670.5600000000001,0.0545985401459854
Adelie,Dream,41.1,17.5,190.0,3900.0,MALE,719.25,0.04871794871794872
Adelie,Dream,35.6,17.5,191.0,3175.0,FEMALE,623.0,0.06015748031496063
Adelie,Dream,40.2,20.1,200.0,3975.0,MALE,808.0200000000001,0.050314465408805034
Adelie,Dream,37.0,16.5,185.0,3400.0,FEMALE,610.5,0.054411764705882354
Adelie,Dream,39.7,17.9,193.0,4250.0,MALE,710.63,0.04541176470588235
Adelie,Dream,40.2,17.1,193.0,3400.0,FEMALE,687.4200000000001,0.05676470588235294
Adelie,Dream,40.6,17.2,187.0,3475.0,MALE,698.32,0.05381294964028777
Adelie,Dream,32.1,15.5,188.0,3050.0,FEMALE,497.55,0.06163934426229508
Adelie,Dream,40.7,17.0,190.0,3725.0,MALE,691.9000000000001,0.05100671140939597
Adelie,Dream,37.3,16.8,192.0,3000.0,FEMALE,626.64,0.064
Adelie,Dream,39.0,18.7,185.0,3650.0,MALE,729.3,0.050684931506849315
Adelie,Dream,39.2,18.6,190.0,4250.0,MALE,729.1200000000001,0.04470588235294118
Adelie,Dream,36.6,18.4,184.0,3475.0,FEMALE,673.4399999999999,0.052949640287769786
Adelie,Dream,36.0,17.8,195.0,3450.0,FEMALE,640.8000000000001,0.05652173913043478
Adelie,Dream,37.8,18.1,193.0,3750.0,MALE,684.18,0.05146666666666667
Adelie,Dream,36.0,17.1,187.0,3700.0,FEMALE,615.6,0.05054054054054054
Adelie,Dream,41.5,18.5,201.0,4000.0,MALE,767.75,0.05025
Chinstrap,Dream,46.5,17.9,192.0,3500.0,FEMALE,832.3499999999999,0.054857142857142854
Chinstrap,Dream,50.0,19.5,196.0,3900.0,MALE,975.0,0.050256410256410255
Chinstrap,Dream,51.3,19.2,193.0,3650.0,MALE,984.9599999999999,0.052876712328767124
Chinstrap,Dream,45.4,18.7,188.0,3525.0,FEMALE,848.9799999999999,0.05333333333333334
Chinstrap,Dream,52.7,19.8,197.0,3725.0,MALE,1043.46,0.05288590604026846
Chinstrap,Dream,45.2,17.8,198.0,3950.0,FEMALE,804.5600000000001,0.05012658227848101
Chinstrap,Dream,46.1,18.2,178.0,3250.0,FEMALE,839.02,0.05476923076923077
Chinstrap,Dream,51.3,18.2,197.0,3750.0,MALE,933.66,0.052533333333333335
Chinstrap,Dream,46.0,18.9,195.0,4150.0,FEMALE,869.4,0.046987951807228916
Chinstrap,Dream,51.3,19.9,198.0,3700.0,MALE,1020.8699999999999,0.053513513513513515
Chinstrap,Dream,46.6,17.8,193.0,3800.0,FEMALE,829.48,0.05078947368421052
Chinstrap,Dream,51.7,20.3,194.0,3775.0,MALE,1049.51,0.05139072847682119
Chinstrap,Dream,47.0,17.3,185.0,3700.0,FEMALE,813.1,0.05
Chinstrap,Dream,52.0,18.1,201.0,4050.0,MALE,941.2,0.04962962962962963
Chinstrap,Dream,45.9,17.1,190.0,3575.0,FEMALE,784.89,0.05314685314685315
Chinstrap,Dream,50.5,19.6,201.0,4050.0,MALE,989.8000000000001,0.04962962962962963
Chinstrap,Dream,50.3,20.0,197.0,3300.0,MALE,1006.0,0.0596969696969697
Chinstrap,Dream,58.0,17.8,181.0,3700.0,FEMALE,1032.4,0.04891891891891892
Chinstrap,Dream,46.4,18.6,190.0,3450.0,FEMALE,863.0400000000001,0.05507246376811594
Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE,895.44,0.04431818181818182
Chinstrap,Dream,42.4,17.3,181.0,3600.0,FEMALE,733.52,0.050277777777777775
Chinstrap,Dream,48.5,17.5,191.0,3400.0,MALE,848.75,0.05617647058823529
Chinstrap,Dream,43.2,16.6,187.0,2900.0,FEMALE,717.1200000000001,0.06448275862068965
Chinstrap,Dream,50.6,19.4,193.0,3800.0,MALE,981.64,0.05078947368421052
Chinstrap,Dream,46.7,17.9,195.0,3300.0,FEMALE,835.93,0.05909090909090909
Chinstrap,Dream,52.0,19.0,197.0,4150.0,MALE,988.0,0.047469879518072286
Chinstrap,Dream,50.5,18.4,200.0,3400.0,FEMALE,929.1999999999999,0.058823529411764705
Chinstrap,Dream,49.5,19.0,200.0,3800.0,MALE,940.5,0.05263157894736842
Chinstrap,Dream,46.4,17.8,191.0,3700.0,FEMALE,825.92,0.05162162162162162
Chinstrap,Dream,52.8,20.0,205.0,4550.0,MALE,1056.0,0.045054945054945054
Chinstrap,Dream,40.9,16.6,187.0,3200.0,FEMALE,678.94,0.0584375
Chinstrap,Dream,54.2,20.8,201.0,4300.0,MALE,1127.3600000000001,0.04674418604651163
Chinstrap,Dream,42.5,16.7,187.0,3350.0,FEMALE,709.75,0.05582089552238806
Chinstrap,Dream,51.0,18.8,203.0,4100.0,MALE,958.8000000000001,0.04951219512195122
Chinstrap,Dream,49.7,18.6,195.0,3600.0,MALE,924.4200000000001,0.05416666666666667
Chinstrap,Dream,47.5,16.8,199.0,3900.0,FEMALE,798.0,0.05102564102564103
Chinstrap,Dream,47.6,18.3,195.0,3850.0,FEMALE,871.08,0.05064935064935065
Chinstrap,Dream,52.0,20.7,210.0,4800.0,MALE,1076.3999999999999,0.04375
Chinstrap,Dream,46.9,16.6,192.0,2700.0,FEMALE,778.5400000000001,0.07111111111111111
Chinstrap,Dream,53.5,19.9,205.0,4500.0,MALE,1064.6499999999999,0.04555555555555556
Chinstrap,Dream,49.0,19.5,210.0,3950.0,MALE,955.5,0.053164556962025315
Chinstrap,Dream,46.2,17.5,187.0,3650.0,FEMALE,808.5,0.05123287671232877
Chinstrap,Dream,50.9,19.1,196.0,3550.0,MALE,972.19,0.0552112676056338
Chinstrap,Dream,45.5,17.0,196.0,3500.0,FEMALE,773.5,0.056
Chinstrap,Dream,50.9,17.9,196.0,3675.0,FEMALE,911.1099999999999,0.05333333333333334
Chinstrap,Dream,50.8,18.5,201.0,4450.0,MALE,939.8,0.045168539325842694
Chinstrap,Dream,50.1,17.9,190.0,3400.0,FEMALE,896.79,0.05588235294117647
Chinstrap,Dream,49.0,19.6,212.0,4300.0,MALE,960.4000000000001,0.04930232558139535
Chinstrap,Dream,51.5,18.7,187.0,3250.0,MALE,963.05,0.05753846153846154
Chinstrap,Dream,49.8,17.3,198.0,3675.0,FEMALE,861.54,0.053877551020408164
Chinstrap,Dream,48.1,16.4,199.0,3325.0,FEMALE,788.8399999999999,0.059849624060150375
Chinstrap,Dream,51.4,19.0,201.0,3950.0,MALE,976.6,0.05088607594936709
Chinstrap,Dream,45.7,17.3,193.0,3600.0,FEMALE,790.6100000000001,0.05361111111111111
Chinstrap,Dream,50.7,19.7,203.0,4050.0,MALE,998.79,0.050123456790123457
Chinstrap,Dream,42.5,17.3,187.0,3350.0,FEMALE,735.25,0.05582089552238806
Chinstrap,Dream,52.2,18.8,197.0,3450.0,MALE,981.3600000000001,0.05710144927536232
Chinstrap,Dream,45.2,16.6,191.0,3250.0,FEMALE,750.3200000000002,0.05876923076923077
Chinstrap,Dream,49.3,19.9,203.0,4050.0,MALE,981.0699999999998,0.050123456790123457
Chinstrap,Dream,50.2,18.8,202.0,3800.0,MALE,943.7600000000001,0.053157894736842105
Chinstrap,Dream,45.6,19.4,194.0,3525.0,FEMALE,884.64,0.0550354609929078
Chinstrap,Dream,51.9,19.5,206.0,3950.0,MALE,1012.05,0.052151898734177214
Chinstrap,Dream,46.8,16.5,189.0,3650.0,FEMALE,772.1999999999999,0.051780821917808216
Chinstrap,Dream,45.7,17.0,195.0,3650.0,FEMALE,776.9000000000001,0.05342465753424658
Chinstrap,Dream,55.8,19.8,207.0,4000.0,MALE,1104.84,0.05175
Chinstrap,Dream,43.5,18.1,202.0,3400.0,FEMALE,787.35,0.05941176470588235
Chinstrap,Dream,49.6,18.2,193.0,3775.0,MALE,902.72,0.051125827814569536
Chinstrap,Dream,50.8,19.0,210.0,4100.0,MALE,965.1999999999999,0.05121951219512195
Chinstrap,Dream,50.2,18.7,198.0,3775.0,FEMALE,938.74,0.052450331125827816
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,FEMALE,608.52,0.04688888888888889
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,MALE,815.0,0.04035087719298246
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,FEMALE,686.6700000000001,0.04719101123595506
Gentoo,Biscoe,50.0,15.2,218.0,5700.0,MALE,760.0,0.03824561403508772
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,MALE,690.2,0.03981481481481482
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,FEMALE,627.75,0.046153846153846156
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,FEMALE,662.8399999999999,0.043958333333333335
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,MALE,714.5100000000001,0.04211538461538462
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,FEMALE,580.22,0.0475
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,MALE,720.72,0.04174757281553398
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,FEMALE,560.3299999999999,0.046021505376344085
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,MALE,788.9000000000001,0.03891891891891892
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,FEMALE,623.35,0.046021505376344085
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,MALE,706.64,0.03641025641025641
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,FEMALE,668.68,0.05
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,MALE,774.0099999999999,0.03709401709401709
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,FEMALE,567.0,0.05060240963855422
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,MALE,747.84,0.03507936507936508
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,FEMALE,669.9000000000001,0.043541666666666666
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,MALE,735.37,0.041495327102803736
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,MALE,717.8600000000001,0.03824561403508772
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,FEMALE,653.95,0.043
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,FEMALE,674.25,0.04840909090909091
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,MALE,731.54,0.04257425742574258
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,FEMALE,561.99,0.043
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,MALE,696.11,0.04215686274509804
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,MALE,636.35,0.05268292682926829
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,MALE,717.0,0.03805309734513274
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,FEMALE,689.2600000000001,0.04565217391304348
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,MALE,765.0,0.03963963963963964
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,MALE,723.6899999999999,0.04228571428571429
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,FEMALE,607.7599999999999,0.044468085106382976
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,FEMALE,653.95,0.04099009900990099
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,MALE,1013.2,0.03801652892561983
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,FEMALE,726.6800000000001,0.04271844660194175
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,MALE,788.92,0.040740740740740744
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,FEMALE,583.62,0.04303030303030303
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,MALE,768.12,0.04171428571428572
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,FEMALE,598.4,0.04781609195402299
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,MALE,764.59,0.0388785046728972
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,FEMALE,584.99,0.052658227848101265
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,MALE,793.6,0.039473684210526314
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,FEMALE,620.6099999999999,0.04883720930232558
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,MALE,744.0,0.04547368421052632
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,MALE,802.95,0.04
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,FEMALE,606.0400000000001,0.04428571428571428
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,FEMALE,632.45,0.05
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,MALE,802.95,0.041666666666666664
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,FEMALE,597.17,0.04176470588235294
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,MALE,714.1600000000001,0.040566037735849055
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,FEMALE,661.72,0.04329896907216495
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,MALE,683.85,0.04150943396226415
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,FEMALE,649.44,0.04772727272727273
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,MALE,751.5,0.045
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,FEMALE,669.6,0.04428571428571428
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,MALE,693.0,0.04356435643564356
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,FEMALE,608.8199999999999,0.04837209302325581
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,MALE,682.5,0.044
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,FEMALE,626.4000000000001,0.046741573033707864
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,MALE,771.12,0.04036036036036036
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,FEMALE,625.14,0.049523809523809526
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,MALE,688.3800000000001,0.04169811320754717
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,FEMALE,635.23,0.04863636363636364
Gentoo,Biscoe,54.3,15.7,231.0,5650.0,MALE,852.5099999999999,0.04088495575221239
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,FEMALE,650.3599999999999,0.046595744680851064
Gentoo,Biscoe,49.8,16.8,230.0,5700.0,MALE,836.64,0.04035087719298246
Gentoo,Biscoe,46.2,14.4,214.0,4650.0,MALE,665.2800000000001,0.046021505376344085
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,MALE,801.9,0.03948275862068965
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,FEMALE,617.6999999999999,0.04680851063829787
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,MALE,760.5,0.04018018018018018
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,FEMALE,715.5,0.04547368421052632
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,MALE,723.8399999999999,0.0442
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,MALE,751.9200000000001,0.043333333333333335
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,FEMALE,688.2,0.04173076923076923
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,FEMALE,696.0,0.04595744680851064
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,MALE,777.6,0.039655172413793106
